name,disease_target,composition,suitable_for,price,effectiveness_score,availability
Metoclopramide,Chemotherapy Nausea,"[{'ingredient': 'Metoclopramide HCl', 'mg': 17.5, 'percentage': 100.0}]",['Adult'],2095.27,0.6508,True
Glimepride,Type 2 Diabetes,"[{'ingredient': 'Glimepiride', 'mg': 3.5, 'percentage': 100.0}]","['Adult', 'Senior']",364.62,0.9202,True
Amlodipine OD,Hypertension,"[{'ingredient': 'Amlodipine', 'mg': 5.0, 'percentage': 100.0}]",['Senior'],351.12,0.5738,True
Cephalexin,Urinary Tract Infection,"[{'ingredient': 'Cephalexin', 'mg': 295, 'percentage': 100.0}]","['Adult', 'Senior']",259.95,0.9613,True
Ezetimibe,Hyperlipidemia,"[{'ingredient': 'Ezetimibe', 'mg': 10.0, 'percentage': 100.0}]",['Adult'],415.74,0.967,True
Orlistat,Obesity,"[{'ingredient': 'Orlistat', 'mg': 66, 'percentage': 100.0}]",['Child'],992.39,0.9494,True
Metformin,Type 2 Diabetes,"[{'ingredient': 'Metformin HCl', 'mg': 590, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",967.66,0.9147,True
Voriconazole,Fungal Infection,"[{'ingredient': 'Voriconazole', 'mg': 155, 'percentage': 100.0}]",['Child'],139.44,0.8275,True
Artemether Forte,Malaria,"[{'ingredient': 'Artemether', 'mg': 66, 'percentage': 26.8}, {'ingredient': 'Lumefantrine', 'mg': 180, 'percentage': 73.2}]",['Child'],287.17,0.8425,True
Teriflunomide Plus,Multiple Sclerosis,"[{'ingredient': 'Teriflunomide', 'mg': 13.0, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",13710.51,0.6545,True
Risedronate 500mg,Osteoporosis,"[{'ingredient': 'Risedronate Sodium', 'mg': 12.0, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",3659.9,0.9639,False
Paliperidone 500mg,Schizophrenia,"[{'ingredient': 'Paliperidone', 'mg': 11.0, 'percentage': 100.0}]","['Child', 'Adult']",1033.81,0.5632,True
Dexamethasone,Cancer Pain Management,"[{'ingredient': 'Dexamethasone', 'mg': 7.5, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",1091.06,0.5277,True
Teriparatide,Osteoporosis,"[{'ingredient': 'Teriparatide', 'mg': 20, 'percentage': 100.0}]",['Adult'],2181.94,0.5611,True
Propylthiouracil SR,Hyperthyroidism,"[{'ingredient': 'Propylthiouracil', 'mg': 270, 'percentage': 100.0}]","['Child', 'Adult']",113.52,0.7904,True
Risperidone 1000mg,Bipolar Disorder,"[{'ingredient': 'Risperidone', 'mg': 2.5, 'percentage': 100.0}]",['Child'],268.85,0.9043,False
Clonidine Generic,ADHD,"[{'ingredient': 'Clonidine HCl', 'mg': 0.24, 'percentage': 100.0}]",['Senior'],1559.01,0.6505,True
Artemether XR,Malaria,"[{'ingredient': 'Artemether', 'mg': 23, 'percentage': 4.6}, {'ingredient': 'Lumefantrine', 'mg': 475, 'percentage': 95.4}]","['Adult', 'Senior']",260.38,0.9165,True
Ziprasidone OD,Schizophrenia,"[{'ingredient': 'Ziprasidone HCl', 'mg': 53, 'percentage': 100.0}]",['Adult'],1982.35,0.9137,False
Salbutamol OD,Bronchitis,"[{'ingredient': 'Salbutamol Sulphate', 'mg': 2.5, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",129.45,0.8366,True
Tramadol,Fibromyalgia,"[{'ingredient': 'Tramadol HCl', 'mg': 73, 'percentage': 100.0}]",['Senior'],312.01,0.5564,True
Tacrolimus,Eczema,"[{'ingredient': 'Tacrolimus', 'mg': 0.043, 'percentage': 100.0}]",['Child'],2310.49,0.9229,True
Inderal OD,Hypertension,"[{'ingredient': 'Propranolol', 'mg': 67, 'percentage': 100.0}]","['Adult', 'Senior']",577.49,0.805,True
Sertraline,PTSD,"[{'ingredient': 'Sertraline HCl', 'mg': 170, 'percentage': 100.0}]",['Senior'],476.46,0.9434,True
Dexamethasone,Chemotherapy Nausea,"[{'ingredient': 'Dexamethasone', 'mg': 19.5, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",2545.93,0.6706,True
Tobramycin Eye,Conjunctivitis,"[{'ingredient': 'Tobramycin', 'mg': 3.0, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",76.56,0.854,True
Colchicine 250mg,Gout,"[{'ingredient': 'Colchicine', 'mg': 1.0, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",313.32,0.7399,False
Pregabalin,Fibromyalgia,"[{'ingredient': 'Pregabalin', 'mg': 205, 'percentage': 100.0}]","['Adult', 'Senior']",897.21,0.8238,True
Etanercept 500mg,Arthritis,"[{'ingredient': 'Etanercept', 'mg': 48, 'percentage': 100.0}]","['Child', 'Adult']",1415.58,0.7097,True
Letrozole CR,Polycystic Ovary Syndrome,"[{'ingredient': 'Letrozole', 'mg': 3.0, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",152.22,0.5517,True
Meropenem,Pneumonia,"[{'ingredient': 'Meropenem', 'mg': 965, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",1749.52,0.9588,True
Amphetamine SR,ADHD,"[{'ingredient': 'Mixed Amphetamine Salts', 'mg': 28, 'percentage': 100.0}]","['Adult', 'Senior']",1443.62,0.6766,True
Palonosetron,Chemotherapy Nausea,"[{'ingredient': 'Palonosetron HCl', 'mg': 0.431, 'percentage': 100.0}]","['Child', 'Adult']",223.19,0.5578,True
Nitrofurantoin SR,Urinary Tract Infection,"[{'ingredient': 'Nitrofurantoin', 'mg': 90, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",377.26,0.5507,True
Dimenhydrinate SR,Vertigo,"[{'ingredient': 'Dimenhydrinate', 'mg': 37, 'percentage': 100.0}]",['Child'],250.28,0.7504,True
Natalizumab CR,Multiple Sclerosis,"[{'ingredient': 'Natalizumab', 'mg': 300, 'percentage': 100.0}]",['Senior'],5410.92,0.5528,True
Levodopa,Parkinson's Disease,"[{'ingredient': 'Levodopa', 'mg': 105, 'percentage': 80.8}, {'ingredient': 'Carbidopa', 'mg': 25, 'percentage': 19.2}]","['Child', 'Adult', 'Senior']",2229.91,0.9043,True
Racecadotril Plus,Gastroenteritis,"[{'ingredient': 'Racecadotril', 'mg': 36, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",60.47,0.6357,True
Bismuth Generic,Peptic Ulcer,"[{'ingredient': 'Bismuth Subcitrate', 'mg': 120, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",202.53,0.7942,True
Acetazolamide Forte,Glaucoma,"[{'ingredient': 'Acetazolamide', 'mg': 340, 'percentage': 100.0}]",['Senior'],720.28,0.6368,False
Semaglutide,Obesity,"[{'ingredient': 'Semaglutide', 'mg': 0.665, 'percentage': 100.0}]",['Adult'],967.16,0.5267,True
Eltroxin,Hypothyroidism,"[{'ingredient': 'Levothyroxine Sodium', 'mg': 54, 'percentage': 100.0}]","['Adult', 'Senior']",190.7,0.6298,True
Niacin SR,Hyperlipidemia,"[{'ingredient': 'Niacin', 'mg': 640, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",1801.54,0.6659,True
Naratriptan SR,Migraine,"[{'ingredient': 'Naratriptan HCl', 'mg': 2.0, 'percentage': 100.0}]","['Adult', 'Senior']",185.84,0.8807,True
Vonoprazan,GERD,"[{'ingredient': 'Vonoprazan Fumarate', 'mg': 17.0, 'percentage': 100.0}]","['Child', 'Adult']",198.68,0.5115,False
Benadryl,Common Cold,"[{'ingredient': 'Diphenhydramine', 'mg': 32, 'percentage': 100.0}]",['Adult'],107.09,0.617,True
Meclizine,Vertigo,"[{'ingredient': 'Meclizine HCl', 'mg': 33, 'percentage': 100.0}]","['Adult', 'Senior']",213.84,0.8636,False
Azathioprine,Crohn's Disease,"[{'ingredient': 'Azathioprine', 'mg': 120, 'percentage': 100.0}]","['Child', 'Adult']",6523.29,0.8183,False
Migranil CR,Migraine,"[{'ingredient': 'Paracetamol', 'mg': 650, 'percentage': 92.6}, {'ingredient': 'Caffeine', 'mg': 52, 'percentage': 7.4}]","['Child', 'Adult', 'Senior']",484.62,0.7364,True
Ondansetron,Chemotherapy Nausea,"[{'ingredient': 'Ondansetron HCl', 'mg': 27, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",2302.06,0.7569,True
Grilinctus,Seasonal Flu,"[{'ingredient': 'Bromhexine', 'mg': 6.0, 'percentage': 7.2}, {'ingredient': 'Guaifenesin', 'mg': 77, 'percentage': 92.8}]",['Child'],176.02,0.5778,True
Hydrocortisone Plus,Eczema,"[{'ingredient': 'Hydrocortisone', 'mg': 11.5, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",357.82,0.8393,True
Galantamine,Alzheimer's Disease,"[{'ingredient': 'Galantamine HBr', 'mg': 4.5, 'percentage': 100.0}]",['Adult'],2527.24,0.7765,True
Pregabalin 250mg,Fibromyalgia,"[{'ingredient': 'Pregabalin', 'mg': 255, 'percentage': 100.0}]","['Adult', 'Senior']",257.14,0.5547,False
Valproate,Epilepsy,"[{'ingredient': 'Sodium Valproate', 'mg': 335, 'percentage': 100.0}]","['Child', 'Adult']",1015.59,0.5301,True
Metoclopramide OD,Chemotherapy Nausea,"[{'ingredient': 'Metoclopramide HCl', 'mg': 37, 'percentage': 100.0}]","['Adult', 'Senior']",601.1,0.7596,True
Augmentin Plus,Urinary Tract Infection,"[{'ingredient': 'Amoxicillin', 'mg': 470, 'percentage': 79.0}, {'ingredient': 'Clavulanate', 'mg': 125, 'percentage': 21.0}]","['Adult', 'Senior']",308.49,0.7463,True
Evolocumab Forte,Hyperlipidemia,"[{'ingredient': 'Evolocumab', 'mg': 190, 'percentage': 100.0}]","['Adult', 'Senior']",1554.97,0.6798,True
Fluticasone Nasal,Allergic Rhinitis,"[{'ingredient': 'Fluticasone Propionate', 'mg': 79, 'percentage': 100.0}]","['Child', 'Adult']",427.73,0.928,False
Methotrexate Plus,Psoriasis,"[{'ingredient': 'Methotrexate', 'mg': 9.5, 'percentage': 100.0}]",['Senior'],2465.84,0.7703,True
Nasivion,Seasonal Flu,"[{'ingredient': 'Oxymetazoline', 'mg': 0.5, 'percentage': 100.0}]","['Adult', 'Senior']",135.44,0.7524,True
Naproxen SR,Arthritis,"[{'ingredient': 'Naproxen', 'mg': 285, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",1527.98,0.7725,True
Montelukast 1000mg,Allergic Rhinitis,"[{'ingredient': 'Montelukast Sodium', 'mg': 4.5, 'percentage': 100.0}]","['Child', 'Adult']",134.68,0.5669,True
Atomoxetine XR,ADHD,"[{'ingredient': 'Atomoxetine HCl', 'mg': 70, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",584.05,0.6467,False
Quinine,Malaria,"[{'ingredient': 'Quinine Sulphate', 'mg': 505, 'percentage': 100.0}]","['Adult', 'Senior']",109.51,0.6944,True
Nasivion XR,Seasonal Flu,"[{'ingredient': 'Oxymetazoline', 'mg': 0.5, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",45.47,0.5696,True
Calcium+VitD,Osteoporosis,"[{'ingredient': 'Calcium Carbonate', 'mg': 1210, 'percentage': 81.8}, {'ingredient': 'Cholecalciferol', 'mg': 270, 'percentage': 18.2}]","['Child', 'Adult', 'Senior']",1111.5,0.5705,True
Suvorexant Generic,Insomnia,"[{'ingredient': 'Suvorexant', 'mg': 8.5, 'percentage': 100.0}]",['Child'],378.81,0.703,True
Rifampicin,Tuberculosis,"[{'ingredient': 'Rifampicin', 'mg': 360, 'percentage': 100.0}]","['Child', 'Adult']",469.02,0.8283,True
Chlorthalidone,Hypertension,"[{'ingredient': 'Chlorthalidone', 'mg': 18.0, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",190.9,0.7796,True
Tretinoin 250mg,Acne Vulgaris,"[{'ingredient': 'Tretinoin', 'mg': 0.044, 'percentage': 100.0}]","['Adult', 'Senior']",123.88,0.5395,True
Ivabradine SR,Angina,"[{'ingredient': 'Ivabradine HCl', 'mg': 6.5, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",804.8,0.7938,True
Tramadol,Fibromyalgia,"[{'ingredient': 'Tramadol HCl', 'mg': 65, 'percentage': 100.0}]",['Child'],477.5,0.8218,True
OCP,Polycystic Ovary Syndrome,"[{'ingredient': 'Ethinyl Estradiol', 'mg': 0.025, 'percentage': 0.8}, {'ingredient': 'Drospirenone', 'mg': 3.0, 'percentage': 99.2}]","['Adult', 'Senior']",230.06,0.6812,False
Tramadol,Chronic Pain,"[{'ingredient': 'Tramadol HCl', 'mg': 320, 'percentage': 100.0}]","['Adult', 'Senior']",1089.5,0.5861,True
Doxycycline,Malaria,"[{'ingredient': 'Doxycycline Hyclate', 'mg': 175, 'percentage': 100.0}]",['Child'],273.22,0.6124,True
Naltrexone SR CR,Obesity,"[{'ingredient': 'Naltrexone', 'mg': 11.5, 'percentage': 3.8}, {'ingredient': 'Bupropion', 'mg': 295, 'percentage': 96.2}]","['Adult', 'Senior']",348.0,0.8632,True
Actifed,Common Cold,"[{'ingredient': 'Triprolidine', 'mg': 2.5, 'percentage': 4.0}, {'ingredient': 'Pseudoephedrine', 'mg': 60, 'percentage': 96.0}]",['Adult'],50.08,0.6298,False
OCP,Polycystic Ovary Syndrome,"[{'ingredient': 'Ethinyl Estradiol', 'mg': 0.028, 'percentage': 0.9}, {'ingredient': 'Drospirenone', 'mg': 3.0, 'percentage': 99.1}]","['Child', 'Adult', 'Senior']",155.08,0.7925,False
Inderal,Hypertension,"[{'ingredient': 'Propranolol', 'mg': 53, 'percentage': 100.0}]",['Child'],448.67,0.9116,True
Vortioxetine,Major Depressive Disorder,"[{'ingredient': 'Vortioxetine', 'mg': 9.5, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",186.78,0.5369,True
Paraflu,Seasonal Flu,"[{'ingredient': 'Paracetamol', 'mg': 640, 'percentage': 99.5}, {'ingredient': 'Chlorpheniramine', 'mg': 3.5, 'percentage': 0.5}]","['Child', 'Adult', 'Senior']",99.05,0.7878,True
Loperamide CR,Gastroenteritis,"[{'ingredient': 'Loperamide HCl', 'mg': 3.0, 'percentage': 100.0}]","['Adult', 'Senior']",82.63,0.8974,True
Chlorthalidone Generic,Hypertension,"[{'ingredient': 'Chlorthalidone', 'mg': 14.5, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",513.72,0.5256,True
Desloratadine OD,Allergic Rhinitis,"[{'ingredient': 'Desloratadine', 'mg': 5.0, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",488.54,0.8901,False
Omeprazole 250mg,Peptic Ulcer,"[{'ingredient': 'Omeprazole', 'mg': 39, 'percentage': 100.0}]","['Child', 'Adult']",123.87,0.5368,True
Doxepin,Insomnia,"[{'ingredient': 'Doxepin HCl', 'mg': 4.0, 'percentage': 100.0}]","['Adult', 'Senior']",125.71,0.5575,True
Sulfasalazine Generic,Arthritis,"[{'ingredient': 'Sulfasalazine', 'mg': 875, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",717.76,0.8239,True
Lisdexamfetamine,ADHD,"[{'ingredient': 'Lisdexamfetamine', 'mg': 62, 'percentage': 100.0}]",['Child'],546.05,0.6246,True
Salmeterol,COPD,"[{'ingredient': 'Salmeterol Xinafoate', 'mg': 39, 'percentage': 100.0}]","['Child', 'Adult']",1930.14,0.8137,False
Azathioprine,Crohn's Disease,"[{'ingredient': 'Azathioprine', 'mg': 41, 'percentage': 100.0}]","['Adult', 'Senior']",1240.7,0.6026,True
Teriparatide 500mg,Osteoporosis,"[{'ingredient': 'Teriparatide', 'mg': 20, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",2373.24,0.7781,True
Glipizide,Type 2 Diabetes,"[{'ingredient': 'Glipizide', 'mg': 14.0, 'percentage': 100.0}]","['Child', 'Adult']",658.74,0.6907,True
Telma,Hypertension,"[{'ingredient': 'Telmisartan', 'mg': 58, 'percentage': 100.0}]","['Adult', 'Senior']",718.9,0.883,False
Sinarest Forte,Seasonal Flu,"[{'ingredient': 'Paracetamol', 'mg': 500, 'percentage': 97.0}, {'ingredient': 'Cetirizine', 'mg': 8.5, 'percentage': 1.6}, {'ingredient': 'Phenylephrine', 'mg': 7.0, 'percentage': 1.4}]",['Child'],124.66,0.612,True
Fluticasone Nasal,Allergic Rhinitis,"[{'ingredient': 'Fluticasone Propionate', 'mg': 73, 'percentage': 100.0}]","['Adult', 'Senior']",434.82,0.6309,True
Metoclopramide OD,GERD,"[{'ingredient': 'Metoclopramide', 'mg': 8.0, 'percentage': 100.0}]","['Adult', 'Senior']",90.31,0.6167,True
Topiramate,Epilepsy,"[{'ingredient': 'Topiramate', 'mg': 47, 'percentage': 100.0}]","['Child', 'Adult']",796.6,0.7459,True
Levocetirizine XR,Allergic Rhinitis,"[{'ingredient': 'Levocetirizine HCl', 'mg': 4.5, 'percentage': 100.0}]",['Child'],399.58,0.5529,False
Risedronate OD,Osteoporosis,"[{'ingredient': 'Risedronate Sodium', 'mg': 5.0, 'percentage': 100.0}]",['Adult'],1298.3,0.7217,True
Natalizumab OD,Multiple Sclerosis,"[{'ingredient': 'Natalizumab', 'mg': 300, 'percentage': 100.0}]",['Adult'],2487.03,0.6565,True
Zyrtec,Common Cold,"[{'ingredient': 'Cetirizine', 'mg': 10.0, 'percentage': 100.0}]",['Adult'],94.49,0.96,True
Infliximab 250mg,Crohn's Disease,"[{'ingredient': 'Infliximab', 'mg': 470, 'percentage': 100.0}]",['Senior'],1572.24,0.6379,True
Fingolimod 250mg,Multiple Sclerosis,"[{'ingredient': 'Fingolimod HCl', 'mg': 0.5, 'percentage': 100.0}]","['Child', 'Adult']",5907.27,0.7537,True
Amitriptyline,Neuropathic Pain,"[{'ingredient': 'Amitriptyline HCl', 'mg': 72, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",648.9,0.5938,True
Morphine,Cancer Pain Management,"[{'ingredient': 'Morphine Sulphate', 'mg': 185, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",384.46,0.9237,True
Cyclobenzaprine CR,Fibromyalgia,"[{'ingredient': 'Cyclobenzaprine HCl', 'mg': 6.5, 'percentage': 100.0}]",['Senior'],820.23,0.8672,True
Amitriptyline XR,Major Depressive Disorder,"[{'ingredient': 'Amitriptyline HCl', 'mg': 145, 'percentage': 100.0}]",['Adult'],281.65,0.7756,True
Clozapine 1000mg,Schizophrenia,"[{'ingredient': 'Clozapine', 'mg': 24, 'percentage': 100.0}]",['Child'],1249.26,0.5714,True
ORS Dengue,Dengue Fever,"[{'ingredient': 'Sodium Chloride', 'mg': 520, 'percentage': 16.1}, {'ingredient': 'Glucose', 'mg': 2700, 'percentage': 83.9}]",['Child'],41.74,0.5801,True
Isosorbide Di SR,Angina,"[{'ingredient': 'Isosorbide Dinitrate', 'mg': 40, 'percentage': 100.0}]","['Adult', 'Senior']",593.43,0.6956,True
Insulin Aspart SR,Type 1 Diabetes,"[{'ingredient': 'Insulin Aspart', 'mg': 100, 'percentage': 100.0}]",['Senior'],1455.17,0.6702,True
Valproate,Bipolar Disorder,"[{'ingredient': 'Sodium Valproate', 'mg': 490, 'percentage': 100.0}]","['Child', 'Adult']",1326.6,0.8951,True
Bupropion,Major Depressive Disorder,"[{'ingredient': 'Bupropion HCl', 'mg': 115, 'percentage': 100.0}]","['Adult', 'Senior']",570.99,0.5786,True
Ramipril,Hypertension,"[{'ingredient': 'Ramipril', 'mg': 8.0, 'percentage': 100.0}]","['Adult', 'Senior']",771.29,0.6426,True
D-Cold,Seasonal Flu,"[{'ingredient': 'Paracetamol', 'mg': 345, 'percentage': 100.0}]","['Child', 'Adult']",51.8,0.9378,True
Terbinafine,Fungal Infection,"[{'ingredient': 'Terbinafine HCl', 'mg': 130, 'percentage': 100.0}]",['Adult'],344.51,0.8072,False
Teriparatide CR,Osteoporosis,"[{'ingredient': 'Teriparatide', 'mg': 20, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",547.66,0.5893,True
Morphine OD,Cancer Pain Management,"[{'ingredient': 'Morphine Sulphate', 'mg': 155, 'percentage': 100.0}]","['Child', 'Adult']",3520.73,0.5816,True
Colchicine,Gout,"[{'ingredient': 'Colchicine', 'mg': 0.826, 'percentage': 100.0}]","['Child', 'Adult']",342.7,0.5343,True
Doxycycline 250mg,Acne Vulgaris,"[{'ingredient': 'Doxycycline Hyclate', 'mg': 79, 'percentage': 100.0}]","['Adult', 'Senior']",498.41,0.8376,False
Actifed Plus,Common Cold,"[{'ingredient': 'Triprolidine', 'mg': 2.5, 'percentage': 4.0}, {'ingredient': 'Pseudoephedrine', 'mg': 60, 'percentage': 96.0}]",['Adult'],125.09,0.5044,True
Amiodarone Generic,Arrhythmia,"[{'ingredient': 'Amiodarone HCl', 'mg': 290, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",361.18,0.8067,True
Escitalopram,Anxiety Disorder,"[{'ingredient': 'Escitalopram Oxalate', 'mg': 19.5, 'percentage': 100.0}]",['Senior'],528.15,0.8631,True
Gabapentin OD,Fibromyalgia,"[{'ingredient': 'Gabapentin', 'mg': 760, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",723.03,0.8585,True
Digoxin CR,Heart Failure,"[{'ingredient': 'Digoxin', 'mg': 0.171, 'percentage': 100.0}]",['Senior'],2611.95,0.7099,True
Metoclopramide 1000mg,GERD,"[{'ingredient': 'Metoclopramide', 'mg': 7.5, 'percentage': 100.0}]","['Adult', 'Senior']",290.08,0.8716,True
Isoniazid,Tuberculosis,"[{'ingredient': 'Isoniazid', 'mg': 105, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",287.2,0.6309,False
Olanzapine 1000mg,Bipolar Disorder,"[{'ingredient': 'Olanzapine', 'mg': 3.5, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",451.48,0.6493,True
Foracort,Asthma,"[{'ingredient': 'Formoterol', 'mg': 8.0, 'percentage': 3.9}, {'ingredient': 'Budesonide', 'mg': 195, 'percentage': 96.1}]","['Child', 'Adult']",1119.94,0.7053,True
Prochlorperazine,Vertigo,"[{'ingredient': 'Prochlorperazine Maleate', 'mg': 7.5, 'percentage': 100.0}]",['Child'],120.63,0.9513,True
Tiotropium CR,COPD,"[{'ingredient': 'Tiotropium Bromide', 'mg': 17.0, 'percentage': 100.0}]","['Child', 'Adult']",323.18,0.6556,True
Isosorbide Di,Angina,"[{'ingredient': 'Isosorbide Dinitrate', 'mg': 18.5, 'percentage': 100.0}]","['Adult', 'Senior']",120.39,0.5803,True
Cetrizet OD,Common Cold,"[{'ingredient': 'Cetirizine', 'mg': 6.5, 'percentage': 100.0}]","['Child', 'Adult']",79.0,0.7874,True
Duloxetine SR,Fibromyalgia,"[{'ingredient': 'Duloxetine HCl', 'mg': 41, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",132.23,0.5721,True
Cephalexin Forte,Urinary Tract Infection,"[{'ingredient': 'Cephalexin', 'mg': 335, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",392.31,0.8132,False
Rizact,Migraine,"[{'ingredient': 'Rizatriptan', 'mg': 8.0, 'percentage': 100.0}]","['Adult', 'Senior']",156.05,0.5102,False
Eltroxin CR,Hypothyroidism,"[{'ingredient': 'Levothyroxine Sodium', 'mg': 63, 'percentage': 100.0}]","['Child', 'Adult']",141.65,0.6054,False
Ventolin,Asthma,"[{'ingredient': 'Salbutamol', 'mg': 110, 'percentage': 100.0}]","['Adult', 'Senior']",116.1,0.9077,True
Glipizide XR,Type 2 Diabetes,"[{'ingredient': 'Glipizide', 'mg': 13.5, 'percentage': 100.0}]",['Adult'],1101.68,0.8502,True
Infliximab,Crohn's Disease,"[{'ingredient': 'Infliximab', 'mg': 350, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",5172.36,0.7503,True
Doxepin,Insomnia,"[{'ingredient': 'Doxepin HCl', 'mg': 4.5, 'percentage': 100.0}]",['Adult'],372.7,0.8217,True
Ciprofloxacin Eye SR,Conjunctivitis,"[{'ingredient': 'Ciprofloxacin HCl', 'mg': 3.0, 'percentage': 100.0}]",['Senior'],247.11,0.9028,True
Denosumab,Osteoporosis,"[{'ingredient': 'Denosumab', 'mg': 60, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",2139.66,0.8385,True
Evolocumab OD,Hyperlipidemia,"[{'ingredient': 'Evolocumab', 'mg': 160, 'percentage': 100.0}]",['Senior'],1454.05,0.5437,True
Fluticasone Nasal XR,Allergic Rhinitis,"[{'ingredient': 'Fluticasone Propionate', 'mg': 160, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",452.63,0.5095,True
Mirtazapine,PTSD,"[{'ingredient': 'Mirtazapine', 'mg': 42, 'percentage': 100.0}]",['Adult'],178.62,0.8794,True
Lisdexamfetamine,ADHD,"[{'ingredient': 'Lisdexamfetamine', 'mg': 46, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",1023.4,0.599,True
Chlorthalidone,Hypertension,"[{'ingredient': 'Chlorthalidone', 'mg': 18.5, 'percentage': 100.0}]",['Child'],314.38,0.9684,True
Celecoxib CR,Post-operative Pain,"[{'ingredient': 'Celecoxib', 'mg': 240, 'percentage': 100.0}]",['Child'],205.67,0.8667,True
Silodosin,Benign Prostatic Hyperplasia,"[{'ingredient': 'Silodosin', 'mg': 6.5, 'percentage': 100.0}]","['Adult', 'Senior']",452.99,0.5082,True
Dutasteride,Benign Prostatic Hyperplasia,"[{'ingredient': 'Dutasteride', 'mg': 0.5, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",81.58,0.6669,True
Amoxicillin,Bronchitis,"[{'ingredient': 'Amoxicillin Trihydrate', 'mg': 255, 'percentage': 100.0}]",['Adult'],257.57,0.8247,True
Jardiance,Type 2 Diabetes,"[{'ingredient': 'Empagliflozin', 'mg': 20, 'percentage': 100.0}]","['Child', 'Adult']",828.87,0.5366,True
Carbamazepine CR,Epilepsy,"[{'ingredient': 'Carbamazepine', 'mg': 260, 'percentage': 100.0}]","['Adult', 'Senior']",949.31,0.6117,False
Acarbose Plus,Type 2 Diabetes,"[{'ingredient': 'Acarbose', 'mg': 89, 'percentage': 100.0}]","['Adult', 'Senior']",1179.02,0.6726,True
Pimecrolimus OD,Eczema,"[{'ingredient': 'Pimecrolimus', 'mg': 10.0, 'percentage': 100.0}]",['Child'],1642.47,0.687,True
Naltrexone SR,Obesity,"[{'ingredient': 'Naltrexone', 'mg': 29, 'percentage': 21.6}, {'ingredient': 'Bupropion', 'mg': 105, 'percentage': 78.4}]","['Adult', 'Senior']",276.31,0.8149,True
Sevelamer 500mg,Chronic Kidney Disease,"[{'ingredient': 'Sevelamer Carbonate', 'mg': 965, 'percentage': 100.0}]","['Child', 'Adult', 'Senior']",2164.18,0.5048,True
Sotalol,Arrhythmia,"[{'ingredient': 'Sotalol HCl', 'mg': 61, 'percentage': 100.0}]","['Adult', 'Senior']",625.36,0.6474,True
Insulin Aspart Generic,Type 1 Diabetes,"[{'ingredient': 'Insulin Aspart', 'mg': 100, 'percentage': 100.0}]",['Adult'],2236.28,0.9271,True
Levofloxacin,Bronchitis,"[{'ingredient': 'Levofloxacin', 'mg': 610, 'percentage': 100.0}]",['Senior'],336.98,0.5532,True
Bimatoprost Plus,Glaucoma,"[{'ingredient': 'Bimatoprost', 'mg': 0.03, 'percentage': 100.0}]",['Child'],442.27,0.5615,True
Azithromycin,Pneumonia,"[{'ingredient': 'Azithromycin', 'mg': 500, 'percentage': 100.0}]",['Child'],1785.65,0.691,True
Dexamethasone 500mg,Cancer Pain Management,"[{'ingredient': 'Dexamethasone', 'mg': 11.0, 'percentage': 100.0}]",['Adult'],4647.13,0.6822,True
